Supercharger,Street Address ?,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Fresno, CA",null,Fresno,CA,93704,USA,10,"36.835455, -119.91058",91,Open,null,SC,thread
"Watertown, NY",null,Watertown,NY,13601,USA,8,"43.979585, -75.954114",156,Open,null,SC,forum
"Wittenburg, Germany",null,Wittenburg,,,Germany,6,"53.507389, 11.096827",40,Open,null,SC,forum
"Schaffhausen, Switzerland",null,Schaffhausen,,8207,Switzerland,8,"47.721034, 8.646353",469,Open,null,SC,thread
"Slagelse, Denmark",null,Slagelse,,4200,Denmark,10,"55.387922, 11.361762",48,Open,null,SC,thread
"Dartford, UK",null,London,,DA9 9ST,United Kingdom,5,"51.438052, 0.26879",16,Open,null,SC,thread
"Little Rock, AR",null,Little Rock,AR,,USA,10,"34.6614, -92.41031",95,Open,null,SC,thread
"Pozna?, Poland",null,Pozna?,,60-751,Poland,4,"52.399723, 16.894948",85,Open,null,SC,thread
"Dujiangyan Cuiyuehu - Mirror Lake Hotel, China",null,Dujiangyan,Sichuan,,China,2,"30.899872, 103.645096",659,Open,null,SC,forum
"Country Club Hills, IL",null,Country Club Hills,IL,60478,USA,8,"41.584927, -87.721062",205,Open,null,SC,thread
"Hamburg, Tesla Service Center, Germany",null,Hamburg,,22419,Germany,2,"53.668642, 9.995189",24,Open,null,SC,thread
"West Melbourne, FL",null,West Melbourne,FL,32904,USA,10,"28.036872, -80.664945",8,Permit,null,SC,thread
"Detroit Lake, OR",null,Detroit,OR,97342,USA,6,"44.737025, -122.152108",492,Open,null,SC,forum
"Modena, Italy",null,Modena,,41126,Italy,6,"44.574119, 10.981157",47,Open,null,SC,forum
"Canary Wharf, UK",null,London,,E14 5EW,United Kingdom,4,"51.504346, -0.016146",293,Open,null,SC,forum
"Big Timber, MT",null,Big Timber,MT,59011,USA,4,"45.836945, -109.944577","1,245",Open,null,SC,thread
"West Springfield, MA",null,West Springfield,MA,1089,USA,8,"42.130914, -72.621435",17,Open,null,SC,thread
"Buckeye, AZ",null,Buckeye,AZ,85326,USA,8,"33.443011, -112.556876",338,Open,null,SC,thread
"Weatherford, OK",null,Weatherford,OK,73096,USA,6,"35.53859, -98.66012",485,Open,null,SC,thread
"Albany, NY",null,Albany,NY,12205,USA,6,"42.710356, -73.819109",88,Open,null,SC,thread
"Paimio, Finland",null,Paimio,,21530,Finland,4,"60.442961, 22.605621",18,Open,null,SC,thread
"Stjørdal, Norway",null,Stjørdal,,7503,Norway,6,"63.466512, 10.917647",2,Open,null,SC,thread
"Red Deer, AB",null,Red Deer,AB,T4N 3X9,Canada,4,"52.251899, -113.814659",878,Open,null,SC,thread
"Hays, KS",null,Hays,KS,67601,USA,6,"38.900543, -99.319142",626,Open,null,SC,thread
"Burbank-Town Center, CA",null,Burbank,CA,91502,USA,20,"34.18487, -118.311672",190,Construction,null,SC,thread
"Fukuoka, Japan",null,Fukuoka,,811-2221,Japan,6,"33.588526, 130.497193",22,Open,null,SC,forum
"Ballacolla, Ireland",null,Ballacolla,,,Ireland,8,"52.86704, -7.481818",92,Open,null,SC,thread
"Bristol - M5, UK",null,Bristol,,BS20 7XG,United Kingdom,8,"51.477207, -2.706308",12,Open,null,SC,thread
"Coeur d'Alene, ID",null,Coeur d'Alene,ID,83815,USA,6,"47.708479, -116.794283",685,Open,null,SC,thread
"Augusta, ME",null,Augusta,ME,4330,USA,8,"44.34787, -69.786088",96,Open,null,SC,thread
"St. Moritz, Switzerland",null,St. Moritz,,7500,Switzerland,4,"46.496797, 9.84272","1,786",Open,null,SC,thread
"Morgantown, WV",null,Morgantown,WV,,USA,8,"39.579175, -79.953493",401,Construction,null,SC,thread
"Auxerre, France",null,Appoigny,,89380,France,8,"47.85183, 3.542802",99,Open,null,SC,forum
"Chengdu, China",null,Chengdu,Sichuan,,China,6,"30.714582, 104.009476",508,Open,null,SC,forum
"Arezzo, Italy",null,Arezzo,,52100,Italy,8,"43.437399, 11.777607",264,Open,null,SC,forum
"München-Feldkirchen service center, Germany",null,Feldkirchen,,85622,Germany,2,"48.145652, 11.741631",527,Open,null,SC,thread
"Mammoth Lakes, CA",null,Mammoth Lakes,CA,93546,USA,8,"37.644544, -118.965875","2,390",Open,null,SC,thread
"Fort MacLeod, AB",null,Fort MacLead,AB,T0L 0Z0,Canada,8,"49.724991, -113.397336",946,Open,null,SC,thread
"Rapid City, SD",null,Rapid City,SD,57701,USA,4,"44.105601, -103.212569","1,006",Open,null,SC,forum
"Brive-la-Gaillarde, France",null,Ussac,,19270,France,8,"45.16724, 1.483119",107,Open,null,SC,forum
"Grantham, UK",null,Grantham,,NG32 2AB,United Kingdom,8,"52.948794, -0.677802",44,Open,null,SC,forum
"Vacaville, CA",null,Vacaville,CA,95687,USA,10,"38.366645, -121.958136",34,Open,null,SC,thread
"Comber, ON",null,Comber,ON,N0P 1J0,Canada,8,"42.238789, -82.550873",182,Open,null,SC,thread
"Xi'an Gaoxin, China",null,Xi'an,Shanxi,,China,4,"34.200007, 108.917655",417,Open,null,SC,forum
"Hooksett (north), NH",null,Hooksett,NH,3106,USA,6,"43.110063, -71.475087",85,Open,null,SC,thread
"Shanghai K11 Art Mall, China",null,Shanghai,Shanghai,,China,6,"31.223318, 121.473305",18,Open,null,SC,forum
"Chengdu Yintai Center, China",null,Chengdu,Sichuan,610016,China,6,"30.585632, 104.068655",498,Open,null,SC,forum
"Kriegstetten, Switzerland",null,Kriegstetten,,,Switzerland,4,"47.175148, 7.598148",454,Permit,null,SC,forum
"Colorado Springs, CO",null,Colorado Springs,CO,80903,USA,8,"38.837573, -104.824907","1,835",Open,null,SC,thread
"Lone Tree, CO",null,Lone Tree,CO,80124,USA,4,"39.561044, -104.87564","1,785",Open,null,SC,thread
"Farmington, NM",null,Farmington,NM,87402,USA,4,"36.766371, -108.144047","1,673",Open,null,SC,thread
"Tannersville, PA",null,Tannersville,PA,18372,USA,8,"41.045431, -75.312244",284,Open,null,SC,thread
"West Drayton, UK",null,London,Greater London,UB7 8HZ,United Kingdom,5,"51.511647, -0.461166",30,Open,null,SC,thread
"Panjin-Yinlong Hotel, China",null,Panjin,Liaoning,,China,4,"41.240311, 121.991402",3,Open,null,SC,forum
"Ceprano, Italy",null,Ceprano,,3024,Italy,8,"41.544226, 13.511958",98,Open,null,SC,forum
"Auburn, AL",null,Auburn,AL,,USA,6,"32.627837, -85.445105",222,Open,null,SC,thread
"Ulanqab-Aowei Plaza, China",null,Ulanqab,Suiyuan,,China,4,"41.035297, 113.110115","1,402",Open,null,SC,forum
"Slidell, LA",null,Slidell,LA,70458,USA,8,"30.266552, -89.760156",3,Open,null,SC,thread
"Hangzhou Xiacheng, China",null,Hangzhou,Zhejiang,,China,8,"30.313127, 120.165145",36,Open,null,SC,forum
"Shanghai, Minhang, Wubao Rd",null,Shanghai,Shanghai,201100,China,2,"31.170563, 121.341869",8,Open,null,SC,forum
"Salina, KS",null,Salina,KS,67401,USA,6,"38.877342, -97.618699",371,Open,null,SC,thread
"Santee, SC",null,Santee,SC,29142,USA,6,"33.485858, -80.475763",39,Open,null,SC,thread
"Nes, Norway",null,Nes i Ådal,,,Norway,12,"60.58475, 9.985092",152,Open,null,SC,thread
"Elverum, Norway",null,Elverum,,2406,Norway,8,"60.884145, 11.540043",44,Open,null,SC,forum
"Löddeköpinge, Sweden",null,Löddeköpinge,,,Sweden,8,"55.766399, 12.990671",10,Open,null,SC,thread
"Urvillers, France",null,Urvillers,,,France,8,"49.787019, 3.335626",104,Open,null,SC,forum
"Grenada, MS",null,Grenada,MS,38901,USA,8,"33.787384, -89.849614",87,Open,null,SC,thread
"Ocala, FL",null,Ocala,FL,34474,USA,8,"29.140985, -82.19395",23,Open,null,SC,thread
"Affi, Italy",null,Affi,,,Italy,8,"45.551296, 10.787143",189,Open,null,SC,forum
"Warwick Southbound, UK",null,Warwick,,CV35 0AA,United Kingdom,8,"52.219105, -1.502085",83,Open,null,SC,forum
"Three Rivers, TX",null,Three Rivers,TX,78071,USA,8,"28.521614, -98.185829",51,Open,null,SC,thread
"Richfield, UT",null,Richfield,UT,84701,USA,4,"38.788161, -112.083841","1,659",Open,null,SC,thread
"Shamrock, TX",null,Shamrock,TX,79079,USA,6,"35.226765, -100.24836",704,Open,null,SC,thread
"Montreal (SC), QC",null,Montreal,QC,H4P 1L9,Canada,2,"45.496185, -73.658793",46,Open,null,SC,thread
"Haukås, Norway",null,Nyborg,,5131,Norway,6,"60.484297, 5.375426",70,Open,null,SC,thread
"Køge, Denmark",null,Køge,,,Denmark,12,"55.489273, 12.162788",32,Open,null,SC,thread
"Huntsville, ON",null,Huntsville,ON,,Canada,9,"45.333611, -79.206703",300,Open,null,SC,thread
"Effingham, IL",null,Effingham,IL,62401,USA,6,"39.137048, -88.563736",184,Open,null,SC,thread
"Pyhäjärvi, Finland",null,Pyhäjärvi,,86800,Finland,4,"63.716298, 25.920103",160,Open,null,SC,forum
Huangshan Yuanyi Baizhuang,null,Huangshan,Anhui,245000,China,4,"29.702871, 118.31356",130,Open,null,SC,forum
"Heathrow Airport Terminal 5, UK",null,"Colnbrook, Slough",,SL3 0FF,United Kingdom,8,"51.478181, -0.515753",22,Open,null,SC,forum
"Ellwangen, Germany",null,Ellwangen,,73479,Germany,8,"48.955921, 10.182282",506,Open,null,SC,thread
"Shaoguan-Sun City, China",null,Shaoguan,Guangdong,,China,4,"24.762329, 113.545654",122,Open,null,SC,forum
"Folsom, CA",null,Folsom,CA,95630,USA,4,"38.64258, -121.18806",63,Open,null,SC,forum
"Centralia, WA",null,Centralia,WA,98531,USA,10,"46.729732, -122.977454",56,Open,null,SC,forum
"Vinje, Norway",null,Vinje,,3890,Norway,8,"59.570131, 7.992551",457,Open,null,SC,thread
"Grimsby, ON",null,Grimsby,ON,L3M 4E8,Canada,8,"43.209814, -79.601404",82,Open,null,SC,thread
"Solli, Norway",null,Solli,,1719,Norway,10,"59.324292, 10.954448",6,Open,null,SC,forum
"Nimes, France",null,Nimes,,30900,France,8,"43.815364, 4.344721",34,Open,null,SC,forum
"Denver, CO",null,Denver,CO,80239,USA,6,"39.775259, -104.794674","1,641",Open,null,SC,thread
"Statesville, NC",null,Statesville,NC,28625,USA,8,"35.781958, -80.860368",273,Permit,null,SC,thread
"Tours, France",null,Rochecorbon,,37210,France,8,"47.407325, 0.744827",66,Open,null,SC,forum
"North East, MD",null,North East,MD,21901,USA,8,"39.612323, -76.009855",111,Construction,null,SC,thread
"Glenwood Springs, CO",null,Glenwood Springs,CO,81601,USA,6,"39.55268, -107.340168","1,762",Open,null,SC,thread
"Gila Bend, AZ",null,Gila Bend,AZ,85337,USA,8,"32.943969, -112.733506",221,Open,null,SC,thread
"Brighouse Northbound, UK",null,Brighouse,,HD6 4JX,United Kingdom,8,"53.713586, -1.746893",141,Construction,null,SC,forum
"Goulburn, Australia",null,Goulburn,NSW,2580,Australia,8,"-34.755597, 149.720984",635,Open,null,SC,thread
"Aarhus, Denmark",null,Aarhus,,8210,Denmark,6,"56.178223, 10.139406",67,Open,null,SC,thread
"Schweitenkirchen, Germany",null,Schweitenkirchen,,85301,Germany,8,"48.510724, 11.58227",511,Open,null,SC,thread
"Asheville, NC",null,Asheville,NC,,USA,8,"35.531391, -82.604487",662,Open,null,SC,thread
"Maidstone, UK",null,Maidstone,Kent,ME14,United Kingdom,6,"51.286224, 0.545783",66,Open,null,SC,thread
"Guangzhou Tianhe - Zhongsen Gourmet 100, China",null,Guangzhou,Guangdong,,China,4,"23.141028, 113.375964",8,Open,null,SC,forum
"Heusden-Zolder, Belgium",null,Heusden-Zolder,,,Belgium,12,"50.993363, 5.242222",31,Open,null,SC,forum
"Plantation, FL",null,Plantation,FL,33324,USA,8,"26.108614, -80.252268",1,Open,null,SC,thread
"Sisteron, France",null,Sisteron,,,France,4,"44.226199, 5.913554",505,Open,null,SC,forum
"Hamamatsu ??, Japan",null,Hamamatsu,,,Japan,4,"34.840437, 137.748006",91,Open,null,SC,forum
"Lumberton, NC",null,Lumberton,NC,28358,USA,4,"34.667629, -79.002343",40,Open,null,SC,thread
"Luoyang-Huayang, China",null,Luoyang,Henan,,China,4,"34.65285, 112.406133",157,Open,null,SC,forum
"La Vale, MD",null,Cumberland,MD,21502,USA,8,"39.635724, -78.844459",329,Construction,null,SC,thread
"Ogallala, NE",null,Ogallala,NE,69153,USA,8,"41.116493, -101.709415",977,Open,null,SC,thread
"Osaka Suehirocho - Panasonic, Japan",null,Osaka,,530-0041,Japan,4,"34.700941, 135.51077",9,Open,null,SC,forum
"Port Huron, MI",null,Port Huron,MI,48060,USA,8,"42.998817, -82.428935",182,Open,null,SC,thread
"Châteauroux, France",null,Coings,,36130,France,8,"46.863058, 1.716048",160,Open,null,SC,thread
"Cuernavaca, Mexico",null,Cuernavaca,,62370,Mexico,6,"18.934819, -99.192297","1,517",Open,null,SC,thread
"Chengdu Yanlord, China",null,Chengdu,Sichuan,610016,China,4,"30.651599, 104.067022",498,Open,null,SC,forum
"Royal Victoria Docks, UK",null,London,,E16 1GB,United Kingdom,2,"51.507022, 0.015928",2,Open,null,SC,thread
"Moosic, PA",null,Moosic,PA,18507,USA,8,"41.361979, -75.676596",320,Open,null,SC,thread
"Wodonga, Australia",null,Wodonga,VIC,3690,Australia,6,"-36.123962, 146.889889",168,Open,null,SC,thread
Aire de Reims-Champagne-Sud,null,Les Petites-Loges,,,France,6,"49.120781, 4.24261",119,Open,null,SC,forum
"Sulz-Vöhringen, Germany",null,Vöhringen,,72189,Germany,6,"48.343115, 8.662612",495,Open,null,SC,thread
"Klett, Norway",null,Klett,,,Norway,8,"63.325319, 10.305137",32,Open,null,SC,thread
"Salt Lake City, UT",null,Salt Lake City,UT,84115,USA,10,"40.7209, -111.888395","1,297",Open,null,SC,thread
"Arlington, WA",null,Arlington,WA,,USA,16,"48.21237, -122.183551",94,Open,null,SC,thread
"Bozeman, MT",null,Bozeman,MT,59715,USA,4,"45.700078, -111.062569","1,442",Open,null,SC,thread
"Örnsköldsvik, Sweden",null,Örnsköldsvik,,,Sweden,6,"63.291556, 18.706134",9,Open,null,SC,forum
"Satteldorf, Germany",null,Satteldorf,,74589,Germany,6,"49.181658, 10.068557",431,Open,null,SC,thread
"Strasburg, VA",null,Strasburg,VA,22657,USA,6,"39.00496, -78.337836",204,Open,null,SC,thread
"Corning, CA",null,Corning,CA,96021,USA,6,"39.926454, -122.198393",87,Open,null,SC,forum
"Cheyenne, WY",null,Cheyenne,WY,82009,USA,4,"41.161085, -104.804955","1,859",Open,null,SC,thread
"Dongguan - Songshan Lake, China",null,Dongguan,Guangdong,,China,4,"22.952909, 113.888298",19,Open,null,SC,forum
"Shaoxing Yuecheng - Tianyuan International Building, China",null,Shaoxing,Zhejiang,,China,6,"30.000048, 120.603519",7,Open,null,SC,thread
"Reno, NV",null,Reno,NV,89509,USA,6,"39.489732, -119.794179","1,356",Open,null,SC,thread
"Bristol, TN",null,Bristol,TN,37620,USA,8,"36.591697, -82.261339",549,Open,null,SC,thread
"Northampton, UK",null,Northampton,,NN4 5EZ,United Kingdom,6,"52.185729, -0.89127",81,Open,null,SC,forum
"Brush, CO",null,Brush,CO,80723,USA,8,"40.270895, -103.62223","1,289",Open,null,SC,thread
"Lyngdal, Norway",null,Lyngdal,,4580,Norway,8,"58.15653, 7.10298",12,Open,null,SC,forum
"Lexington, VA",null,Lexington,VA,,USA,6,"37.796979, -79.419007",319,Open,null,SC,thread
"Chenzhou - Yizhang, China",null,Chenzhou,Hunan,,China,4,"25.401274, 112.977646",336,Open,null,SC,forum
"Rocky Mount, NC",null,Rocky Mount,NC,27804,USA,8,"35.972874, -77.84687",40,Open,null,SC,thread
"Gweirah, Jordan",null,Aqaba,,,Jordan,4,"29.825562, 35.332523",830,Open,null,SC,forum
"Tupelo, MS",null,Tupelo,MS,38804,USA,8,"34.311515, -88.700843",83,Open,null,SC,thread
"Lier (south), Norway",null,Lier,,3400,Norway,8,"59.766259, 10.257838",17,Open,null,SC,thread
Beijing - Youth Road,null,Beijing,Beijing,,China,8,"39.922634, 116.516151",36,Open,null,SC,forum
"Oto?ac, Croatia",null,Kompolje,,53226,Croatia,6,"44.893164, 15.183865",443,Construction,null,SC,thread
"Westfield White City, London",null,London,,W12 7GD,United Kingdom,8,"51.507888, -0.221972",9,Open,null,SC,forum
"North Aurora, IL",null,North Aurora,IL,60542,USA,8,"41.802949, -88.370249",212,Open,null,SC,thread
"Shijiazhuang-Haiyue, China",null,Shijiazhuang,Hebei,,China,6,"38.034492, 114.471977",78,Open,null,SC,forum
"Cheonan, South Korea",null,??,,,South Korea,6,"36.757187, 127.224121",105,Open,null,SC,forum
"Ya'an, China",null,Ya'an,Sichuan,,China,4,"29.989832, 103.006912",581,Open,null,SC,forum
"Tainan, Taiwan",null,Tainan,,,Taiwan,8,"22.936091, 120.221582",8,Open,null,SC,forum
"London, KY",null,London,KY,40741,USA,6,"37.14916, -84.11385",361,Open,null,SC,thread
"Jettingen-Scheppach, Germany",null,Jettingen,,89343,Germany,6,"48.411685, 10.439755",462,Open,null,SC,forum
"Bend, OR",null,Bend,OR,97702,USA,8,"44.03563, -121.308473","1,142",Open,null,SC,thread
"Sangerhausen, Germany",null,Sangerhausen,,6526,Germany,6,"51.450532, 11.304467",148,Open,null,SC,thread
"Bygland, Norway",null,Bygland,,,Norway,8,"58.82792, 7.796114",208,Open,null,SC,thread
"Regensburg, Germany",null,Regensburg,,93055,Germany,8,"48.994967, 12.150416",333,Open,null,SC,thread
"Burlington, WA",null,Burlington,WA,98233,USA,8,"48.509772, -122.338625",7,Open,null,SC,forum
"Cavaglià, Italy",null,Cavaglià,,13881,Italy,8,"45.38967, 8.128911",221,Open,null,SC,forum
"Zaragoza, Spain",null,Zaragoza,,,Spain,4,"41.625393, -1.01103",322,Construction,null,SC,forum
"Wertheim, Germany",null,Wertheim,,97877,Germany,6,"49.770564, 9.576403",153,Open,null,SC,thread
"Plymouth, NC",null,Plymouth,NC,27962,USA,8,"35.850587, -76.756116",5,Open,null,SC,thread
"Lima, MT",null,Lima,MT,59739,USA,8,"44.632745, -112.591203","1,912",Open,null,SC,thread
"Midland, TX",null,Midland,TX,79703,USA,8,"31.947565, -102.142205",865,Open,null,SC,thread
"Pocatello, ID",null,Pocatello,ID,83201,USA,8,"42.899615, -112.435248","1,409",Open,null,SC,thread
"Pratteln, Switzerland",null,Pratteln,,,Switzerland,4,"47.524843, 7.682486",292,Open,null,SC,thread
"Aberdeen, WA",null,Aberdeen,WA,98520,USA,8,"46.976679, -123.813485",132,Open,null,SC,thread
Aire de Reims-Champagne-Nord,null,Les Petites-Loges,,,France,6,"49.119348, 4.245689",119,Open,null,SC,forum
"Lully, Switzerland",null,Lully,,1470,Switzerland,6,"46.832233, 6.859269",490,Open,null,SC,forum
"Rock Springs, WY",null,Rock Springs,WY,82901,USA,8,"41.580814, -109.262159","1,904",Construction,null,SC,thread
"Hirschberg, Germany",null,Hirschberg,,69493,Germany,8,"49.507337, 8.637361",98,Open,null,SC,thread
Zhaoqing - Phoenix Hotel,null,Zhaoqing,Guangdong,,China,4,"23.00935, 112.456787",10,Open,null,SC,forum
"Ariza, Spain",null,Ariza,,50220,Spain,6,"41.313192, -2.002201",726,Open,null,SC,forum
"Nashville, TN",null,Nashville,TN,37027,USA,6,"35.969209, -86.804641",226,Open,null,SC,thread
"Ger, France",null,Ger,,,France,4,"43.230222, -0.07773",425,Permit,null,SC,forum
"Waterloo, NY",null,Waterloo,NY,13165,USA,8,"42.970012, -76.846134",156,Open,null,SC,thread
"Independence, MO",null,Independence,MO,64055,USA,6,"39.040814, -94.369265",245,Open,null,SC,thread
"Toronto (SC), ON",null,Toronto,ON,M3A 1C6,Canada,8,"43.740222, -79.322389",138,Open,null,SC,thread
"Mosjøen, Norway",null,Mosjøen,,8651,Norway,6,"65.834836, 13.191673",0,Open,null,SC,forum
"Kaiserslautern Eselsfürth, Germany",null,Kaiserslautern,,67657,Germany,8,"49.459902, 7.82134",255,Open,null,SC,thread
"Redondo Beach, CA",null,Redondo Beach,CA,90278,USA,8,"33.894294, -118.367379",21,Open,null,SC,thread
"Senj, Croatia",null,Senj,,53270,Croatia,4,"44.989707, 14.89947",1,Open,null,SC,thread
"Wilmington, NC",null,Wilmington,NC,28405,USA,10,"34.240825, -77.829189",7,Open,null,SC,thread
"Erftstadt, Germany",null,Erftstadt,,50374,Germany,8,"50.796469, 6.780077",100,Open,null,SC,forum
"Coralville, IA",null,Coralville,IA,,USA,8,"41.680372, -91.591467",205,Open,null,SC,thread
"Laurel, MD",null,Laurel,MD,20707,USA,8,"39.095382, -76.858319",55,Open,null,SC,thread
"Winchester - Norton Park, UK",null,Winchester,,,United Kingdom,2,"51.16725, -1.328024",90,Open,null,SC,forum
"Albaret-Sainte-Marie, France",null,Albaret-Sainte-Marie,,48200,France,8,"44.870977, 3.252918","1,066",Open,null,SC,forum
"Seoul - Gangnam, South Korea",null,??,,,South Korea,5,"37.509215, 127.06079",30,Open,null,SC,forum
"Lafayette, IN",null,Lafayette,IN,47905,USA,8,"40.416187, -86.814084",202,Open,null,SC,thread
"Orlando, FL",null,Orlando,FL,32835,USA,6,"28.514874, -81.500214",1,Open,null,SC,thread
"Palmanova, Italy",null,Palmanova,,,Italy,8,"45.884158, 13.344976",18,Open,null,SC,forum
"Carpiano, Italy",null,Carpiano,,20080,Italy,6,"45.34834, 9.282206",87,Open,null,SC,forum
"Pearl, MS",null,Pearl,MS,39208,USA,8,"32.274159, -90.151048",79,Open,null,SC,thread
"Hilpoltstein, Germany",null,Hilpoltstein,,91161,Germany,6,"49.160465, 11.26101",425,Open,null,SC,thread
"Cerignola, Italy",null,Cerignola,,71042,Italy,8,"41.306389, 15.899738",67,Open,null,SC,forum
"Tilburg, Netherlands",null,Tilburg,,5047 RG,Netherlands,2,"51.606331, 5.005621",5,Open,null,SC,thread
"Weston, WV",null,Weston,WV,26452,USA,8,"39.019586, -80.418562",329,Construction,null,SC,thread
"Wiesbaden, Germany",null,Wiesbaden,,65205,Germany,4,"50.059472, 8.346059",152,Open,null,SC,thread
"Grants Pass, OR",null,Grants Pass,OR,97526,USA,4,"42.460883, -123.324124",335,Open,null,SC,forum
"Melbourne - Richmond, Australia",null,Richmond,Victoria,3121,Australia,4,"-37.831997, 144.995807",16,Open,null,SC,thread
"Skellefteå, Sweden",null,Skellefteå,,93176,Sweden,6,"64.76235, 21.002864",80,Open,null,SC,thread
"Manteca, CA",null,Manteca,CA,95337,USA,8,"37.782622, -121.228683",9,Open,null,SC,thread
"Zurich - Dietlikon, Switzerland",null,Dietlikon,,8305,Switzerland,6,"47.413063, 8.616766",436,Open,null,SC,thread
"Las Vegas, NV",null,Las Vegas,NV,89101,USA,6,"36.165906, -115.138655",609,Open,null,SC,thread
"Tremonton, UT",null,Tremonton,UT,84337,USA,6,"41.70995, -112.198576","1,317",Open,null,SC,thread
"Humpolec, Czech Republic",null,Humpolec,,39601,Czech Republic,6,"49.521746, 15.347476",593,Open,null,SC,thread
"Calais, France",null,Coquelles,,62231,France,6,"50.924425, 1.80414",23,Open,null,SC,forum
"Hong Kong - Olympian City, China",null,Hong Kong,Hong Kong,,China,4,"22.32005, 114.158158",19,Open,null,SC,forum
"Twin Falls, ID",null,Twin Falls,ID,83301,USA,8,"42.597887, -114.455249","1,098",Open,null,SC,thread
"Horsham, Australia",null,Horsham,Victoria,3400,Australia,4,"-36.71584, 142.19348",128,Permit,null,SC,thread
"Santa Fe, NM",null,Santa Fe,NM,87507,USA,8,"35.611793, -106.032196","1,961",Open,null,SC,thread
"Woodbridge, VA",null,Woodbridge,VA,22192,USA,8,"38.64082, -77.29633",63,Open,null,SC,thread
"Middelfart, Denmark",null,Middelfart,,5500,Denmark,12,"55.510639, 9.764306",26,Open,null,SC,thread
Albuquerque NM,null,Albuquerque,NM,87107,USA,6,"35.108962, -106.612794","1,558",Open,null,SC,thread
"Beijing - Central Place, China",null,Beijing,Beijing,,China,8,"39.90871, 116.48053",43,Open,null,SC,forum
"Innhavet, Norway",null,Innhavet,,8260,Norway,4,"67.962327, 15.9298",9,Open,null,SC,thread
"Shenyang Huafu Xintiandi, China",null,Shenyang,Liaoning,,China,4,"41.811405, 123.43588",55,Open,null,SC,forum
"Langon, France",null,Langon,,33210,France,4,"44.54244, -0.253972",26,Open,null,SC,forum
"Arlon, Belgium",null,Arlon,,,Belgium,6,"49.647755, 5.819677",359,Open,null,SC,thread
"Shanghai Jiading Auto City, China",null,Shanghai,Shanghai,,China,6,"31.27969, 121.16766",5,Open,null,SC,thread
"Telford, UK",null,Telford,,,United Kingdom,8,"52.677334, -2.399552",114,Construction,null,SC,thread
"Machelen, Belgium",null,Machelen,,,Belgium,8,"50.887736, 4.453052",42,Open,null,SC,thread
"Hopewell Centre, Hong Kong, China",null,Hong Kong,Hong Kong,,China,10,"22.274495, 114.171429",73,Open,null,SC,forum
"Hjørring, Denmark",null,Hjørring,,9800,Denmark,8,"57.455791, 10.04227",24,Open,null,SC,thread
"Grove City, OH",null,Grove City,OH,43123,USA,8,"39.877253, -83.063448",243,Open,null,SC,thread
"Tebay Southbound, UK",null,Orton,,CA10 3SB,United Kingdom,8,"54.453104, -2.605743",214,Construction,null,SC,forum
"Mojave, CA",null,Mojave,CA,93501,USA,6,"35.068595, -118.174576",866,Open,null,SC,thread
"Le Mans, France",null,La Chapelle St Aubin,France,72650,France,8,"48.041833, 0.175342",0,Open,null,SC,forum
"Gävle, Sweden",null,Gävle,,805 91,Sweden,8,"60.648513, 17.120583",37,Open,null,SC,forum
"Jung, Sweden",null,Jung,,,Sweden,6,"58.328002, 13.132237",73,Open,null,SC,forum
"Butte, MT",null,Butte,MT,59701,USA,6,"45.981226, -112.507161","1,666",Open,null,SC,thread
"Rolling Meadows, IL",null,Rolling Meadows,IL,60008,USA,10,"42.050188, -87.995686",219,Permit,null,SC,thread
"Guiyang - Sofitel, China",null,Guiyang,Guizhou,,China,8,"26.575317, 106.719193","1,069",Open,null,SC,forum
"Bandon, OR",null,Bandon,OR,97411,USA,8,"43.120781, -124.39905",22,Open,null,SC,thread
"Yanan - Longhua Hotel, China",null,Yanan,Shaanxi,,China,4,"36.588867, 109.468124","1,080",Open,null,SC,forum
"Wuhan - Brabus Auto Park, China",null,Wuhan,Hubei,,China,6,"30.479657, 114.190621",25,Open,null,SC,forum
"Exeter, UK",null,Exeter,,EX3 0QH,United Kingdom,2,"50.685442, -3.448837",6,Open,null,SC,forum
"Tifton, GA",null,Tifton,GA,31794,USA,8,"31.448847, -83.53221",92,Open,null,SC,thread
"Brandon, FL",null,Brandon,FL,33511,USA,8,"27.940831, -82.323648",12,Open,null,SC,thread
"Las Vegas Blvd South, NV",null,Las Vegas,NV,89119,USA,10,"36.070633, -115.17295",673,Open,null,SC,thread
"Ritzville, WA",null,Ritzville,WA,99169,USA,4,"47.116294, -118.368328",570,Open,null,SC,thread
"Sausheim, France",null,Sausheim,,68390,France,8,"47.782016, 7.388299",242,Open,null,SC,thread
"Decatur, GA",null,Decatur,GA,30033,USA,4,"33.793217, -84.285379",310,Open,null,SC,thread
"Seoul - Yeoido, South Korea",null,?????,,,South Korea,5,"37.52526, 126.925714",17,Open,null,SC,forum
"Beijing-Yizhuang, China",null,Beijing,Beijing,,China,4,"39.799729, 116.518017",31,Open,null,SC,forum
"Duluth, MN",null,Duluth,MN,55802,USA,4,"46.784467, -92.10232",200,Open,null,SC,thread
"Chasseneuil-du-Poitou, France",null,Chasseneuil-du-Poitou,,86360,France,8,"46.670356, 0.362651",81,Open,null,SC,forum
"Toulouse, France",null,Toulouse,,31620,France,8,"43.769334, 1.361378",113,Open,null,SC,thread
